"Arquivo","Linha","Antes","Depois"
"\src\app\api\admin\banners\route.js","20","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\[id]\route.js","24","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\[id]\route.js","34","return NextResponse.json({ erro: ""Post nao encontrado"" }, { status: 404 });","return NextResponse.json({ erro: ""Post não encontrado"" }, { status: 404 });"
"\src\app\api\admin\blog\[id]\route.js","67","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\blog\route.js","24","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\depoimentos\[id]\route.js","18","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\depoimentos\[id]\route.js","45","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\depoimentos\route.js","18","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\faq\[id]\route.js","17","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\faq\[id]\route.js","44","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\faq\route.js","17","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\leads\[id]\route.js","20","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\[id]\route.js","21","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\[id]\route.js","54","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\api\admin\portfolio\route.js","21","return NextResponse.json({ erro: ""Nao autorizado"" }, { status: 401 });","return NextResponse.json({ erro: ""Não autorizado"" }, { status: 401 });"
"\src\app\layout.jsx","17","title: ""AW Marcenaria e Moveis Planejados"",","title: ""AW Marcenaria e Móveis Planejados"","
"\src\app\layout.jsx","18","description: ""Marcenaria e moveis planejados de alto padrao"",","description: ""Marcenaria e móveis planejados de alto padrão"","
"\src\components\admin\AmbienteForm.jsx","70","setErro(""Nao foi possivel salvar. Tente novamente."");","setErro(""Não foi possivel salvar. Tente novamente."");"
"\src\components\admin\AmbienteForm.jsx","138","aqui (upload direto ainda nao esta disponivel).","aqui (upload direto ainda não esta disponivel)."
"\src\components\admin\BannerForm.jsx","57","setErro(""Nao foi possivel salvar. Tente novamente."");","setErro(""Não foi possivel salvar. Tente novamente."");"
"\src\components\admin\BannerForm.jsx","106","(upload direto ainda nao esta disponivel).","(upload direto ainda não esta disponivel)."
"\src\components\admin\DeleteButton.jsx","21","alert(""Nao foi possivel excluir. Tente novamente."");","alert(""Não foi possivel excluir. Tente novamente."");"
"\src\components\admin\DepoimentoForm.jsx","12","notaEstrelas: z.coerce.number().int().min(1, ""Nota minima 1"").max(5, ""Nota maxima 5"").default(5),","notaEstrelas: z.coerce.number().int().min(1, ""Nota minima 1"").max(5, ""Nota máxima 5"").default(5),"
"\src\components\admin\DepoimentoForm.jsx","55","setErro(""Nao foi possivel salvar. Tente novamente."");","setErro(""Não foi possivel salvar. Tente novamente."");"
"\src\components\admin\FaqForm.jsx","51","setErro(""Nao foi possivel salvar. Tente novamente."");","setErro(""Não foi possivel salvar. Tente novamente."");"
"\src\components\admin\LeadStatusSelect.jsx","9","{ valor: ""ORCAMENTO_ENVIADO"", rotulo: ""Orcamento enviado"" },","{ valor: ""ORCAMENTO_ENVIADO"", rotulo: ""Orçamento enviado"" },"
"\src\components\admin\PortfolioForm.jsx","95","setErro(""Nao foi possivel salvar. Tente novamente."");","setErro(""Não foi possivel salvar. Tente novamente."");"
"\src\components\admin\PortfolioForm.jsx","141","placeholder=""Cozinhas, Quartos, Salas, Escritorios...""","placeholder=""Cozinhas, Quartos, Salas, Escritórios..."""
"\src\components\admin\PostBlogForm.jsx","88","setErro(error.message || ""Nao foi possivel salvar. Tente novamente."");","setErro(error.message || ""Não foi possivel salvar. Tente novamente."");"
"\src\components\admin\PostBlogForm.jsx","114","placeholder=""cuidados-com-moveis-planejados""","placeholder=""cuidados-com-móveis-planejados"""
"\src\components\admin\PostBlogForm.jsx","140","Aparece na listagem do blog e como descricao padrao para buscadores se o Meta Descricao ficar em branco.","Aparece na listagem do blog e como descricao padrão para buscadores se o Meta Descricao ficar em branco."
"\src\components\admin\PostBlogForm.jsx","173","(upload direto ainda nao esta disponivel).","(upload direto ainda não esta disponivel)."
"\src\components\sections\Ambientes.jsx","12","alt: ""Quarto planejado com closet integrado em marcenaria de alto padrao"",","alt: ""Quarto planejado com closet integrado em marcenaria de alto padrão"","
"\src\components\sections\Contato.jsx","77","Preencha o formulario abaixo e nossa equipe entra em contato para","Preencha o formulário abaixo e nossa equipe entra em contato para"
"\src\components\sections\Contato.jsx","195","Nao foi possivel enviar agora. Tente novamente ou chame no","Não foi possivel enviar agora. Tente novamente ou chame no"
"\src\components\sections\Processo.jsx","6","""Entendemos seu estilo, necessidades e espaco em uma conversa inicial sem compromisso."",","""Entendemos seu estilo, necessidades e espaço em uma conversa inicial sem compromisso."","
"\src\components\sections\Processo.jsx","16","titulo: ""Aprovacao"",","titulo: ""Aprovação"","
"\src\components\sections\Processo.jsx","18","""Voce revisa cada detalhe, ajusta o quanto quiser, e aprova a versao final."",","""Você revisa cada detalhe, ajusta o quanto quiser, e aprova a versao final."","
"\src\components\sections\Processo.jsx","22","titulo: ""Producao"",","titulo: ""Produção"","
"\src\components\sections\Processo.jsx","28","titulo: ""Instalacao"",","titulo: ""Instalação"","
"\src\components\sections\Processo.jsx","30","""Equipe especializada realiza a instalacao com precisao e cuidado no seu espaco."",","""Equipe especializada realiza a instalação com precisao e cuidado no seu espaço."","
"\src\components\sections\Processo.jsx","36","""Voce recebe o ambiente pronto, com garantia e suporte pos-venda."",","""Você recebe o ambiente pronto, com garantia e suporte pos-venda."","
"\src\components\sections\Sobre.jsx","39","Ha mais de uma decada, a AW Marcenaria transforma projetos em moveis planejados de alto padrao, combinando madeiras nobres, acabamento impecavel e um processo artesanal que valoriza cada detalhe, criando ambientes unicos e atemporais.","Ha mais de uma decada, a AW Marcenaria transforma projetos em móveis planejados de alto padrao, combinando madeiras nobres, acabamento impecável e um processo artesanal que valoriza cada detalhe, criando ambientes unicos e atemporais."
"\src\components\sections\Sobre.jsx","43","Do primeiro esboco a instalacao final, cada projeto e desenvolvido sob medida, unindo precisao, sofisticacao e excelencia artesanal. O resultado sao ambientes funcionais, duraveis e com uma estetica atemporal, criados para valorizar cada espaco e refletir a personalidade de seus clientes.","Do primeiro esboco a instalação final, cada projeto e desenvolvido sob medida, unindo precisao, sofisticação e excelencia artesanal. O resultado são ambientes funcionais, duraveis e com uma estetica atemporal, criados para valorizar cada espaço e refletir a personalidade de seus clientes."
"\src\components\site\Hero.jsx","13","Marcenaria e Moveis Planejados","Marcenaria e Móveis Planejados"
"\src\components\site\Hero.jsx","34","Conheca nossos ambientes","Conheça nossos ambientes"
"\src\components\site\Hero.jsx","51","<span className=""block text-dourado"">quem voce e</span>","<span className=""block text-dourado"">quem você e</span>"
"\src\components\site\Hero.jsx","54","subtitulo=""Projetos exclusivos de marcenaria planejada: do conceito a instalacao, com acabamento impecavel e atendimento personalizado do inicio ao fim.""","subtitulo=""Projetos exclusivos de marcenaria planejada: do conceito a instalacao, com acabamento impecável e atendimento personalizado do início ao fim."""
"\src\components\Footer.jsx","26","alt=""AW Marcenaria e Moveis Planejados""","alt=""AW Marcenaria e Móveis Planejados"""
"\src\components\Footer.jsx","36","Marcenaria e moveis planejados de alto padrao. Design,","Marcenaria e móveis planejados de alto padrão. Design,"
"\src\components\Footer.jsx","65","Preencha o formulario ou chame no WhatsApp para solicitar seu","Preencha o formulário ou chame no WhatsApp para solicitar seu"
"\src\components\Footer.jsx","74","&copy; {anoAtual} AW Marcenaria e Moveis Planejados. Todos os direitos","&copy; {anoAtual} AW Marcenaria e Móveis Planejados. Todos os direitos"
"\src\components\Header.jsx","38","alt=""AW Marcenaria e Moveis Planejados""","alt=""AW Marcenaria e Móveis Planejados"""
"\src\components\Header.jsx","70","{/* Botao menu mobile */}","{/* Botão menu mobile */}"
